"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.366,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",6.91,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",6.787,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",6.712,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.001,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.965,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.877,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.848,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.822,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.673,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.741,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.749,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",17.429,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",16.554,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.872,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.252,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",14.63,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.622,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.913,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.453,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.391,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.023,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.385,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.225,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",17.751,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.901,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",16.982,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.243,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",15.201,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.305,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.908,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.265,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.437,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.891,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.82,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.726,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",9.204,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",9.02,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.902,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.349,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.611,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.282,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.498,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.283,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.207,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",7.278,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",7.073,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",7.09,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",21.636,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",21.158,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",20.619,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",20.929,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",19.194,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",18.865,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",18.334,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.808,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",16.886,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.919,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",17.166,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",16.965,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",14.558,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",13.083,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",13.351,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",13.617,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",10.866,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",10.488,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",11.056,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.185,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",9.302,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.288,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",9.873,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",9.785,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.646,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.206,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.353,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.17,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.484,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.099,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.49,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",5.719,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",5.68,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",5.334,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",5.675,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",5.638,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",15.939,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",14.768,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",14.861,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",14.78,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.529,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.448,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",11.509,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.232,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.439,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",11.387,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",11.492,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",11.367,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",16.606,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.24,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",16.254,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.741,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.952,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.716,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.374,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.858,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.899,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.007,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.048,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",11.928,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",20.779,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",19.238,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",19.152,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",19.81,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",17.438,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",16.77,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",15.799,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",16.155,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",14.54,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",14.511,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",14.586,
"GRC","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",14.32,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",21.5,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",20.405,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",20.212,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",20.937,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.586,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.641,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",17.676,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.688,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",15.855,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.698,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",16.743,
"HUN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",16.596,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.711,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.475,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.343,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.57,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.903,
